time,"-25,-20","-20,-15","-10,-15","0,-20","0,-15"
2.0,0.00373183222202,0.00334714950048,0.00808689195189,0.00397544930878,0.00281021250769
2.05,0.00397707846898,0.00398199910384,0.00875883368173,0.00427527118999,0.00261138122755
2.1,0.00467192959603,0.00419243168287,0.00902162992127,0.00447021889985,0.00239433022304
2.15,0.00497998407503,0.00389643375038,0.00890324343606,0.00439749738904,0.00233471725233
2.2,0.00506771756243,0.00329831788771,0.00772266726595,0.00387889168538,0.0023425982949
2.25,0.00465212627455,0.00289209397809,0.00667034544984,0.00325045427922,0.0025314312857
2.3,0.00505940044,0.00268356137835,0.00593053237342,0.00290253030418,0.00268303732254
2.35,0.00549719959451,0.00211674423662,0.0059797523609,0.00316177776629,0.00253049848199
2.4,0.00537022435383,0.00168223693292,0.00554593751781,0.00345529078016,0.00240510025529
2.45,0.00465358179219,0.00188965092064,0.00499647372561,0.00348369320872,0.00254612867367
2.5,0.00432605567233,0.00238493241816,0.00517502110268,0.00359529076127,0.00265082227526
2.55,0.00390165358351,0.00267768518323,0.00616776518493,0.00368152038513,0.00267360418842
2.6,0.00366689845599,0.0030659107057,0.00632757129985,0.00370054465148,0.00266889413949
2.65,0.00341046288539,0.00313275654496,0.00448789543672,0.003169001165,0.00256109981269
2.7,0.00338861673583,0.00339148763796,0.00508086651386,0.00274694093303,0.00234303568597
2.75,0.00349410192138,0.00375586898332,0.00587751846372,0.00231894394459,0.00215837045104
2.8,0.00348536911088,0.00375816144229,0.00553831413534,0.00182730454982,0.00198993011886
2.85,0.00357780724585,0.00321934069682,0.00429262302035,0.00180546773628,0.0022482609939
2.9,0.00348394398521,0.00264774054218,0.00326716638939,0.0017480132943,0.00269896935159
2.95,0.00302370246412,0.0027268398018,0.00398176316394,0.00185736240743,0.00329338284921
3.0,0.0030111813405,0.00272284423613,0.00525155634504,0.00211224919001,0.00393233729419
3.05,0.00292168027316,0.0031281919421,0.00607495601738,0.0023457958778,0.00415197321462
3.1,0.00310901592688,0.00332673305815,0.00647057686997,0.0027329143411,0.00418187649671
3.15,0.0028818159489,0.00366975555364,0.00747869506693,0.00317047488263,0.00389170902956
3.2,0.00310044815035,0.00449621976515,0.00818209710698,0.00349842143649,0.00362535984992
3.25,0.00341195441671,0.0053319452166,0.00870835966115,0.00319251024424,0.00299527145901
3.3,0.00353735265057,0.00580852093271,0.00822618143493,0.00296664791974,0.00315923585526
3.35,0.00328696145779,0.00595664393459,0.00680883983035,0.00251470581218,0.00371573793516
3.4,0.00353314527757,0.00568382229827,0.00635071245384,0.002298906072,0.00408014127049
3.45,0.00365659178885,0.00512074958166,0.0042206409949,0.00200665268974,0.00375039869638
3.5,0.00322230668292,0.0045688352306,0.00335551585973,0.00184262881207,0.00329539546895
3.55,0.00272676483029,0.00440313582409,0.00312130859227,0.0015198368903,0.00278561980229
3.6,0.0026860092593,0.00422613576831,0.00328840331845,0.00150480620354,0.00247419624185
3.65,0.00259607896053,0.00386224644255,0.00379205056622,0.0013161339398,0.00252263559764
3.7,0.00257648298447,0.00373171105315,0.00428850595051,0.00116400372309,0.00260483687028
3.75,0.00312907000681,0.00371846909258,0.00514805401006,0.00135115167012,0.00249392126146
3.8,0.00379031900888,0.00344582724743,0.00562633913396,0.00162813418734,0.00245765528875
3.85,0.00383755009318,0.00310179952519,0.00555449761274,0.00172355550045,0.00236427744983
3.9,0.00381028114087,0.00271311015286,0.00471482532515,0.00164016387434,0.00232225026614
3.95,0.00383078354891,0.00231092622941,0.00466550265252,0.00145682276536,0.00242223729996
4.0,0.00379642407651,0.00211667178091,0.00506279303177,0.0013724161033,0.0023915403119
4.05,0.00339660144021,0.00210287698052,0.00525729561339,0.00127490555689,0.00229897697208
4.1,0.00264878801355,0.00221167343789,0.00487838582273,0.00112836480442,0.00232986237294
4.15,0.00273987462156,0.00229794143068,0.00560218362109,0.00108232699252,0.00231211462677
4.2,0.00257861431135,0.00238541818034,0.00593218696618,0.00100561227023,0.00215009598038
4.25,0.00214866685743,0.00235686856998,0.00666332387758,0.00103393862079,0.00206799495151
4.3,0.00230771139418,0.00218113725862,0.00745378158789,0.000893706036972,0.00222247456038
4.35,0.0022593875571,0.00212256020954,0.00811619888709,0.000821402054536,0.00223408617682
4.4,0.00214463346401,0.00197487933292,0.00860636732737,0.000814267237676,0.00202482195903
4.45,0.00222603593564,0.00187910146445,0.0093593339045,0.00090668669676,0.00220089353573
4.5,0.00233853032708,0.0018838741183,0.00963694945212,0.000991722810084,0.00241355982199
4.55,0.00270654482301,0.00194231652168,0.00870222257665,0.00102286502525,0.00218325099465
4.6,0.00303635902368,0.00201977397476,0.0065507439061,0.000891333211562,0.00229693465993
